"","X","sex","birth","age","ageg","marriage","group_marriage","religion","code_job","job","income","code_region","region"
"1",1,"female",1936,80,"old",2,NA,"no",NA,NA,NA,1,"서울"
"2",2,"female",1945,71,"old",2,NA,"no",NA,NA,NA,1,"서울"
"5",5,"female",1923,93,"old",2,NA,"yes",NA,NA,NA,1,"서울"
"7",7,"female",1963,53,"middle",1,"marriage","yes",NA,NA,NA,1,"서울"
"8",8,"female",2003,13,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"10",10,"female",1934,82,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"11",11,"female",1930,86,"old",2,NA,"no",NA,NA,NA,7,"광주/전남/전북/제주도"
"13",13,"female",1960,56,"middle",1,"marriage","no",NA,NA,NA,7,"광주/전남/전북/제주도"
"14",14,"female",1940,76,"old",2,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"15",15,"female",1970,46,"middle",3,"divorce","yes",NA,NA,NA,1,"서울"
"16",16,"female",1992,24,"young",5,NA,"yes",NA,NA,NA,1,"서울"
"18",18,"female",1941,75,"old",1,"marriage","no",NA,NA,NA,1,"서울"
"21",21,"female",1975,41,"middle",1,"marriage","no",254,"문리 기술 및 예능 강사",200,1,"서울"
"22",22,"female",2004,12,"young",0,NA,"no",NA,NA,NA,1,"서울"
"23",23,"female",2008,8,"young",0,NA,"no",NA,NA,NA,1,"서울"
"25",25,"female",1942,74,"old",1,"marriage","yes",510,"영업 종사자",150,1,"서울"
"27",27,"female",1940,76,"old",2,NA,"no",NA,NA,NA,1,"서울"
"30",30,"female",1961,55,"middle",1,"marriage","no",NA,NA,NA,1,"서울"
"32",32,"female",1986,30,"middle",5,NA,"no",314,"비서 및 사무 보조원",170,1,"서울"
"33",33,"female",1962,54,"middle",1,"marriage","no",941,"청소원 및 환경 미화원",120,1,"서울"
"34",34,"female",1985,31,"middle",4,NA,"no",314,"비서 및 사무 보조원",120,1,"서울"
"36",36,"female",1961,55,"middle",3,"divorce","yes",951,"가사 및 육아 도우미",NA,1,"서울"
"37",37,"female",1982,34,"middle",1,"marriage","no",NA,NA,NA,1,"서울"
"40",40,"female",1945,71,"old",2,NA,"yes",NA,NA,NA,7,"광주/전남/전북/제주도"
"42",42,"female",1930,86,"old",2,NA,"no",NA,NA,NA,1,"서울"
"43",43,"female",1939,77,"old",2,NA,"yes",NA,NA,NA,1,"서울"
"45",45,"female",1945,71,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"48",48,"female",1974,42,"middle",1,"marriage","yes",320,"금융 및 보험관련 사무 종사자",417,1,"서울"
"49",49,"female",2006,10,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"50",50,"female",2006,10,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"52",52,"female",1954,62,"old",3,"divorce","no",NA,NA,NA,1,"서울"
"53",53,"female",1941,75,"old",2,NA,"yes",NA,NA,NA,1,"서울"
"55",55,"female",1974,42,"middle",1,"marriage","yes",NA,NA,NA,1,"서울"
"57",57,"female",2000,16,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"60",60,"female",1961,55,"middle",1,"marriage","no",NA,NA,NA,1,"서울"
"61",61,"female",1983,33,"middle",5,NA,"no",NA,NA,NA,1,"서울"
"63",63,"female",1927,89,"old",2,NA,"yes",NA,NA,NA,1,"서울"
"64",64,"female",1936,80,"old",2,NA,"yes",NA,NA,NA,1,"서울"
"66",66,"female",1973,43,"middle",1,"marriage","no",314,"비서 및 사무 보조원",100,1,"서울"
"69",69,"female",1936,80,"old",1,"marriage","no",NA,NA,NA,1,"서울"
"71",71,"female",1940,76,"old",2,NA,"no",NA,NA,NA,1,"서울"
"72",72,"female",1982,34,"middle",1,"marriage","yes",NA,NA,NA,2,"수도권(인천/경기)"
"75",75,"female",2012,4,"young",0,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"76",76,"female",1937,79,"old",3,"divorce","yes",941,"청소원 및 환경 미화원",20,1,"서울"
"77",77,"female",1942,74,"old",2,NA,"no",NA,NA,NA,1,"서울"
"79",79,"female",1974,42,"middle",1,"marriage","no",NA,NA,NA,1,"서울"
"80",80,"female",2009,7,"young",0,NA,"no",NA,NA,NA,1,"서울"
"81",81,"female",1939,77,"old",2,NA,"no",NA,NA,NA,1,"서울"
"83",83,"female",1967,49,"middle",1,"marriage","no",NA,NA,NA,1,"서울"
"84",84,"female",1995,21,"young",5,NA,"no",NA,NA,NA,1,"서울"
