"","X","sex","birth","age","ageg","marriage","group_marriage","religion","code_job","job","income","code_region","region"
"3",3,"male",1948,68,"old",2,NA,"no",942,"경비원 및 검표원",120,1,"서울"
"4",4,"male",1942,74,"old",3,"divorce","yes",762,"전기공",200,1,"서울"
"6",6,"male",1962,54,"middle",1,"marriage","yes",530,"방문 노점 및 통신 판매 관련 종사자",NA,1,"서울"
"9",9,"male",1927,89,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"12",12,"male",1956,60,"old",1,"marriage","no",NA,NA,NA,7,"광주/전남/전북/제주도"
"17",17,"male",1940,76,"old",1,"marriage","no",NA,NA,NA,1,"서울"
"19",19,"male",1962,54,"middle",5,NA,"no",999,"기타 서비스관련 단순 종사원",40,1,"서울"
"20",20,"male",1978,38,"middle",1,"marriage","no",312,"경영관련 사무원",350,1,"서울"
"24",24,"male",1941,75,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"26",26,"male",1964,52,"middle",5,NA,"no",530,"방문 노점 및 통신 판매 관련 종사자",NA,1,"서울"
"28",28,"male",1975,41,"middle",5,NA,"yes",286,"스포츠 및 레크레이션 관련 전문가",NA,1,"서울"
"29",29,"male",1978,38,"middle",1,"marriage","no",521,"매장 판매 종사자",NA,1,"서울"
"31",31,"male",1961,55,"middle",1,"marriage","no",773,"건축마감관련 기능 종사자",NA,1,"서울"
"35",35,"male",1952,64,"old",1,"marriage","no",773,"건축마감관련 기능 종사자",200,1,"서울"
"38",38,"male",1968,48,"middle",5,NA,"no",274,"기술영업 및 중개 관련 종사자",NA,7,"광주/전남/전북/제주도"
"39",39,"male",1971,45,"middle",3,"divorce","no",873,"자동차 운전원",250,7,"광주/전남/전북/제주도"
"41",41,"male",1943,73,"old",2,NA,"no",NA,NA,NA,1,"서울"
"44",44,"male",1937,79,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"46",46,"male",1975,41,"middle",5,NA,"no",NA,NA,NA,1,"서울"
"47",47,"male",1972,44,"middle",1,"marriage","yes",NA,NA,NA,1,"서울"
"51",51,"male",1980,36,"middle",5,NA,"no",952,"음식관련 단순 종사원",150,1,"서울"
"54",54,"male",1966,50,"middle",1,"marriage","yes",312,"경영관련 사무원",400,1,"서울"
