"","sex","birth","age","ageg","marriage","group_marriage","religion","code_job","job","income","code_region","region"
"1","female",1936,80,"old",2,NA,"no",NA,NA,NA,1,"서울"
"2","female",1945,71,"old",2,NA,"no",NA,NA,NA,1,"서울"
"3","male",1948,68,"old",2,NA,"no",942,"경비원 및 검표원",120,1,"서울"
"4","male",1942,74,"old",3,"divorce","yes",762,"전기공",200,1,"서울"
"5","female",1923,93,"old",2,NA,"yes",NA,NA,NA,1,"서울"
"6","male",1962,54,"middle",1,"marriage","yes",530,"방문 노점 및 통신 판매 관련 종사자",NA,1,"서울"
"7","female",1963,53,"middle",1,"marriage","yes",NA,NA,NA,1,"서울"
"8","female",2003,13,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"9","male",1927,89,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"10","female",1934,82,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"11","female",1930,86,"old",2,NA,"no",NA,NA,NA,7,"광주/전남/전북/제주도"
"12","male",1956,60,"old",1,"marriage","no",NA,NA,NA,7,"광주/전남/전북/제주도"
"13","female",1960,56,"middle",1,"marriage","no",NA,NA,NA,7,"광주/전남/전북/제주도"
"14","female",1940,76,"old",2,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"15","female",1970,46,"middle",3,"divorce","yes",NA,NA,NA,1,"서울"
"16","female",1992,24,"young",5,NA,"yes",NA,NA,NA,1,"서울"
"17","male",1940,76,"old",1,"marriage","no",NA,NA,NA,1,"서울"
"18","female",1941,75,"old",1,"marriage","no",NA,NA,NA,1,"서울"
"19","male",1962,54,"middle",5,NA,"no",999,"기타 서비스관련 단순 종사원",40,1,"서울"
"20","male",1978,38,"middle",1,"marriage","no",312,"경영관련 사무원",350,1,"서울"
"21","female",1975,41,"middle",1,"marriage","no",254,"문리 기술 및 예능 강사",200,1,"서울"
"22","female",2004,12,"young",0,NA,"no",NA,NA,NA,1,"서울"
"23","female",2008,8,"young",0,NA,"no",NA,NA,NA,1,"서울"
"24","male",1941,75,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"25","female",1942,74,"old",1,"marriage","yes",510,"영업 종사자",150,1,"서울"
"26","male",1964,52,"middle",5,NA,"no",530,"방문 노점 및 통신 판매 관련 종사자",NA,1,"서울"
"27","female",1940,76,"old",2,NA,"no",NA,NA,NA,1,"서울"
"28","male",1975,41,"middle",5,NA,"yes",286,"스포츠 및 레크레이션 관련 전문가",NA,1,"서울"
"29","male",1978,38,"middle",1,"marriage","no",521,"매장 판매 종사자",NA,1,"서울"
"30","female",1961,55,"middle",1,"marriage","no",NA,NA,NA,1,"서울"
"31","male",1961,55,"middle",1,"marriage","no",773,"건축마감관련 기능 종사자",NA,1,"서울"
